Year,Rating,Completions,TDs,Yards,Attempts,Outcome
2000,42.4,1,0,6,3,Missed Playoffs
2001,86.5,264,18,2843,413,Super Bowl
2002,85.7,373,28,3764,601,Missed Playoffs
2003,85.9,317,23,3620,527,Super Bowl
2004,92.6,288,28,3692,474,Super Bowl
2005,92.3,334,26,4110,530,Made Playoffs
2006,87.9,319,24,3529,516,Made Playoffs
2007,117.2,398,50,4806,578,Super Bowl
2008,83.9,7,0,76,11,Missed Playoffs
2009,96.2,371,28,4398,565,Made Playoffs
2010,111.0,324,36,3900,492,Made Playoffs
2011,105.6,401,39,5235,611,Super Bowl
2012,98.7,401,34,4827,637,Made Playoffs
2013,87.3,380,25,4343,628,Made Playoffs
2014,97.4,373,33,4109,582,Super Bowl
2015,102.2,402,36,4770,624,Made Playoffs
2016,112.2,291,28,3554,432,Super Bowl
2017,102.8,385,32,4577,581,Super Bowl
2018,97.7,375,29,4355,570,Super Bowl
2019,88.0,373,24,4057,613,Made Playoffs
2020,102.2,401,40,4633,610,Super Bowl
2021,102.1,485,43,5316,719,Made Playoffs
2022,93.1,224,9,2267,340,Missed Playoffs
