Title,Author,Release Date,Language
1. The Women,Kristin Hannah,02-06-24,English
2. Atomic Habits,James Clear,10-16-18,English
3. First Lie Wins,Ashley Elston,01-02-24,English
4. Defiance of the Fall 12,"TheFirstDefier, JF Brink",02-28-24,English
5. A Court of Thorns and Roses,Sarah J. Maas,05-05-15,English
6. The Teacher,Freida McFadden,02-06-24,English
7. Fourth Wing,Rebecca Yarros,05-02-23,English
8. Dune,Frank Herbert,12-31-06,English
9. Iron Flame,Rebecca Yarros,11-07-23,English
10. Worthy,Jamie Kern Lima,02-20-24,English
11. A Court of Mist and Fury,Sarah J. Maas,05-03-16,English
12. Don't Believe Everything You Think,Joseph Nguyen,04-13-22,English
13. House of Flame and Shadow,Sarah J. Maas,01-30-24,English
14. The Chaos Agent,Mark Greane,02-20-24,English
15. The Heaven & Earth Grocery Store,James McBride,08-08-23,English
16. A Court of Wings and Ruin,Sarah J. Maas,05-02-17,English
17. Blood Money,Peter Schweizer,02-27-24,English
18. Supercommunicators,Charles Duhigg,02-20-24,English
19. How to Talk to Anyone,Leil Lowndes,09-01-15,English
20. The Courage to Be Disliked,"Ichiro Kishimi, Fumitake Koga",05-08-18,English
21. Burn Book,Kara Swisher,02-27-24,English
22. Bad Therapy,Abigail Shrier,02-27-24,English
23. House of Earth and Blood,Sarah J. Maas,03-03-20,English
"24. Shōgun, Part One",James Clavell,12-12-23,English
25. The Subtle Art of Not Giving a F*ck,Mark Manson,09-13-16,English
26. A Court of Silver Flames,Sarah J. Maas,02-16-21,English
27. Most Delicious Poison,Noah Whiteman,10-24-23,English
28. Throne of Glass,Sarah J. Maas,01-28-21,English
29. None of This Is True,Lisa Jewell,08-08-23,English
30. Remarkably Bright Creatures,Shelby Van Pelt,05-03-22,English
31. House of Sky and Breath,Sarah J. Maas,02-15-22,English
32. The Housemaid,Freida McFadden,04-26-22,English
33. Can't Hurt Me,David Goggins,11-28-18,English
34. Tom Lake,Ann Patchett,08-01-23,English
35. Butcher & Blackbird,rynne Weaver,10-10-23,English
36. The Psychology of Money,Morgan Housel,09-08-20,English
37. A Court of Frost and Starlight,Sarah J. Maas,05-01-18,English
38. Outlive,"Peter Attia MD, Bill Gifford - contributor",03-28-23,English
39. It's Not You,Ramani Durvasula PhD,02-20-24,English
40. Crown of Midnight,Sarah J. Maas,01-28-21,English
41. Pretty Girls,Karin Slaughter,09-29-15,English
42. Three-Inch Teeth,C. J. Box,02-27-24,English
"43. Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,11-20-15,English
44. The Body Keeps the Score,essel A. van der Kolk,02-16-21,English
45. Lessons in Chemistry,onnie Garmus,04-05-22,English
46. Heir of Fire,Sarah J. Maas,09-02-21,English
47. The Mountain Is You,rianna Wiest,04-01-22,English
48. Greenlights,Matthew McConaughe,10-20-20,English
49. Attack from Within,arbara McQuade,02-27-24,English
50. The Covenant of Water,Abraham Verghese,05-02-23,English
51. Queen of Shadows,Sarah J. Maas,09-01-15,English
52. Hidden Potential,Adam Grant,10-24-23,English
53. The Four Agreements,don Miguel Ruiz,01-27-05,English
54. How to Win Friends & Influence People,Dale Carnegie,09-16-04,English
55. Bride,Ali Hazelwood,02-06-24,English
56. Mostly What God Does,Savannah Guthrie,02-20-24,English
57. The Woman in Me,ritney Spears,10-24-23,English
58. We've Got Issues,Phillip C. McGraw Ph.D.,02-27-24,English
59. Project Hail Mary,Andy Weir,05-04-21,English
60. Empire of Storms,Sarah J. Maas,09-06-16,English
61. The Frozen River,Ariel Lawhon,12-05-23,English
62. Demon Copperhead,arbara Kingsolver,10-18-22,English
63. Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,05-14-19,English
64. Haunting Adeline,H. D. Carlton,08-29-22,English
65. 12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",01-23-18,English
66. The Wife Upstairs,Freida McFadden,11-23-21,English
67. The Perfect Marriage,Jeneva Rose,12-29-20,English
"68. Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,11-20-15,English
"69. Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,11-20-15,English
70. Tower of Dawn,Sarah J. Maas,09-05-17,English
71. Never Split the Difference,Chris Voss,05-17-16,English
72. The Assassin's Blade,Sarah J. Maas,04-01-21,English
73. Extreme Ownership,"Jocko Willink, Leif Babin",10-19-15,English
"74. Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,11-20-15,English
75. Do the New You,Steven Furtick,02-13-24,English
76. I'm Glad My Mom Died,Jennette McCurd,08-09-22,English
77. Kingdom of Ash,Sarah J. Maas,10-23-18,English
78. The Nightingale,Kristin Hannah,02-03-15,English
79. Be Useful,Arnold Schwarzenegger,10-10-23,English
80. Elon Musk,Walter Isaacson,09-12-23,English
"81. Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,11-20-15,English
82. A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,06-01-22,English
83. Hábitos atómicos (Español neutro),James Clear,09-30-20,Spanish
84. Verity,Colleen Hoover,05-07-19,English
85. $100M Leads,Alex Hormozi,08-20-23,English
86. To Die For,Joyce Maynard,06-06-23,English
87. The 5 Second Rule,Mel Robbins,02-22-17,English
"88. Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,11-20-15,English
89. Unfu*k Yourself,Gary John Bishop,08-01-17,English
90. The Many Lives of Mama Love (Oprah's Book Club),Lara Love Hardin,08-01-23,English
91. Never Lie,Freida McFadden,11-08-22,English
92. The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,06-13-17,English
"93. Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,11-20-15,English
94. The Housemaid's Secret,Freida McFadden,02-20-23,English
"95. Friends, Lovers, and the Big Terrible Thing",Matthew Perr,11-01-22,English
96. Dune Messiah,Frank Herbert,10-01-07,English
97. Halo: Epitaph,Kelly Ga,02-27-24,English
98. The 5AM Club,Robin Sharma,12-04-18,English
99. The Silent Patient,Alex Michaelides,02-05-19,English
100. Killers of the Flower Moon,David Grann,04-18-17,English
