,Title,Company,Location,Job Description,When Posted
0,Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",Familiarity working with JSON data.,Posted 4 days ago·
1,Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA",Creates sustainable data science infrastructure and adheres to data analysis/machine learning best practices.,Posted 4 days ago·
2,"Associate, Finance Strategy & Analysis, Content",Netflix,"Los Angeles, CA",Experience conducting quantitative analysis (including modeling) and qualitative analysis and can drive to insight and results using data.,Posted 30+ days ago·
3,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA","Understanding of data governance, privacy, and security in AI applications.",Posted 2 days ago·
4,Statistician,UCLA,"Los Angeles, CA","Advanced knowledge of data collection design, for qualitative and/or quantitative methodologies.",Posted 10 days ago·
5,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.,Posted 26 days ago·
6,Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245",Experience with data visualization tools such as Tableau.,Posted 30+ days ago·
7,Data Scientist,Hadrian,"Los Angeles, CA",Work with the FactoryOS team to ensure data captured from the factory is suitable for data science needs.,Posted 12 days ago·
8,Data Scientist IV,OrangePeople,"Bell, CA 90201","Experience finding, cleaning, and manipulating data to build data sets.",Active 3 days ago·
9,Data Scientist (Ability to Obtain DoD),Sparkle G,"Redondo Beach, CA","Hands-on experience with core Python data science tools (Numpy, Pandas, Matplotlib, SciKit-Learn, etc.).",Active 3 days ago·
10,Applied Scientist I,Capital Group Companies,"Los Angeles, CA",You will conduct research and experimentation to identify and implement state-of-the-art methodologies in large language modeling and analyze patterns from…,Posted 30+ days ago·
11,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA",Obsessed data quality: build reliable and trustworthy web-scale data products.,Posted 30+ days ago·
12,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·
13,Statistician - Semel Institute,UCLA Health,"Los Angeles, CA 90095","Understand and modify or adapt existing SAS code for complex data management; develop new code in SAS, Stata, or R to validate new data against prior study data…",Posted 30+ days ago·
14,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",5+ years experience in the data science field at a tech company with large data sets.,Posted 4 days ago·
15,Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ag
16,Analytics Engineer (L5) - Content DSE,Netflix,"Los Angeles, CA",Proven track record in transforming large amounts of complex data into insights by leading the end-to-end creation of intuitive data products.,Posted 30+ days ago·
17,"Manager, Content Data Engineering",Netflix,"Los Angeles, CA",Provide technical vision and strategy for building a data ecosystem that enables Netflix to leverage data about content within cross-functional teams.,Posted 25 days ago·
18,"Application Software Engineer, Data",SpaceX,"Hawthorne, CA","Experience in full stack development, software engineering, data engineering, or data science.",Posted 11 days ago·
19,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA","Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Just posted·
20,Vaccine Specialist Representative,Inizio Engage,3.5,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Active 3 days ag
21,Application Engineer,MathWorks,"Hybrid remote in Torrance, CA",The hybrid model provides the advantage of having both in-person time with colleagues and flexible at-home life optimizations.,Posted 4 days ago·
22,ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,"Los Angeles, CA",Experience building and maintaining data pipelines for machine learning.,Posted 6 days ago·
23,Machine Learning Engineer,Apple,"Culver City, CA","Designing, developing, validating and maintaining big data-driven predictive models, tools and pipelines to improve user engagement using latest technologies in…",Posted 26 days ago·
24,Staff Data Scientist,GOBankingRates,"Remote in Los Angeles, CA","Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·
25,Statistical Research Programmer,RAND Corporation,"Los Angeles, CA 90071 ",Minimum one year of experience working with commercial and supply chain data.,Posted 3 days ago·
26,Staff Analytics Engineer,Warner Bros. Discovery,"Culver City, CA 90232",Design and implement data models that support flexible querying and data visualization.,Posted 20 days ago·
27,Business Intelligence Analyst,Paramount+,"Los Angeles, CA 90069",Improve and strengthen data pipelines for media mix modeling with data engineering teams.,Posted 1 day ago·
28,Data Engineer,InStride,"Los Angeles, CA",5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 20 days ago·
29,Assistant Director - Data & Analytics,UCLA,"Los Angeles, CA","Experience working with data lakes, particularly in cloud environments such as AWS, demonstrating adeptness in overseeing large-scale data infrastructure and…",Posted 23 days ago·
30,Data Scientist,TASC Technical Services LLC,4.3,"Creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.",Active 3 days ag
31,"Associate Director, Data Science and Advanced Analytics",Kite Pharma,"Santa Monica, CA",Develop first-hand knowledge of Commercial data sets and act as a subject matter expert to navigate emerging business needs and the evolving data landscape.,Posted 30+ days ago·
32,"Director, Decision Science Products",Disney,"Burbank, CA","Work with team to define requirements across product, data, and engineering to craft a suite of data tools and projects—including tracking specs, data…",Posted 13 days ago·
33,Senior Data Analyst,O Positiv,"Santa Monica, CA 90405 ",3+ years in data / analytics / product management roles.,Posted 30+ days ago·
34,Data Scientist or Senior Data Scientist,National Research Group,"Remote in Los Angeles, CA 90094",Ideally you have experience applying data science in a consumer marketing research firm or to consumer marketing research applications – and at least some level…,Posted 30+ days ago·
35,Audience Analytics Manager,Apple,"Culver City, CA",Partner with data science team to build and automate reports.,Posted 26 days ago·
36,Senior Staff Analyst - DHS Community Programs,Heluna Health,"Los Angeles, CA 90014",Works with the CalAIM data science team to ensures that processes and procedures used for all reporting and analyses are mapped and rigorously documented.,Posted 30+ days ago·
37,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040","⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Active 3 days ago·
38,Master of Applied Statistics and Data Science Adjunct Professor - Spring 2024,UCLA,"Los Angeles, CA","Ideal candidates will have a Ph.D. in Statistics or a related field, a demonstrated excellence in teaching, knowledge of and experience with R, experience in…",Posted 10 days ago·
39,Sr. Business Data Analyst,Live Nation,"Beverly Hills, CA","Conduct data analysis to identify or reconcile data differences among different platforms, including multiple international data lakes and sources, each…",Posted 11 days ago·
40,AI Strategy Lead,Proper Hospitality,"Los Angeles, CA","Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·
41,"Manager, FS&A, Ads Revenue & Yield Analytics, UCAN",Netflix,"Los Angeles, CA",Collaborate with MSFT to establish a sustainable and reliable data model throughout the Ad Tech stack to ensure consistent and accurate outputs.,Posted 10 days ago·
42,Applied Scientist,"Amazon Development Center U.S., Inc. - B02","Pasadena, CA","PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience.",Posted 3 days ago·
43,Data Engineer III,"Intelliswift Software, Inc.","Culver City, CA",Support Data pipelines for data science.,Posted 30+ days ago·
44,"Vice President, Analytics",Lionsgate,"Santa Monica, CA 90404",Building BI tools and teams to visualize data for non-technical audiences.,Posted 30+ days ago·
45,"Executive Director, Analytics - CW Network - Burbank, CA",Nexstar Broadcasting,"Burbank, CA",Improving data quality and efficiency across all data sets.,Posted 27 days ago·
46,Senior Statistician (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","You will collaborate with staff and faculty on data management, data quality control, statistical modeling, designing study databases, and applying skill in…",Posted 3 days ago·
47,Data Analytics Manager,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",The Data Analytics Manager will manage the data science and analytics team at Millennium Space Systems.,Posted 30+ days ago·
48,Business & Forecasting Analyst,Coursera,"Remote in Los Angeles, CA","This person must have proven experience with forecasting, requirements gathering, financial modeling, data analysis, data reporting & visualization, and…",Posted 6 days ago·
49,Decision Scientist - Metaverse,Meta,"Los Angeles, CA 90066 ","Experience finding, cleaning, and manipulating data to build data sets.",Posted 2 days ago·
50,Games Data Lead,Blitz App,"Los Angeles, CA","Data Architecture: Define and implement data architecture best practices, including data warehousing, data lakes, and cloud-based solutions.",Posted 30+ days ago·
51,Lead Data Scientist,ADP,"Pasadena, CA",Initiate conversations with different areas based on data analysis to link data sets for a more wholistic view.,Posted 30+ days ago·
52,Analytics Manager,Alo Yoga,"Beverly Hills, CA","Minimum of 8+ years of experience in data analytics or data science, including experience in retail analytics and growth strategies and 2+ years managing people…",Posted 30+ days ago·
53,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,"Carson, CA",Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 5 days ago·
54,ArcGIS Specialist,"Jada Systems, Inc.","Los Angeles, CA 90017 ","Document GIS workflows, data standards, and best practices.",Active 9 days ago·
55,Programmer/Analyst - Artificial Intelligence in Medicine (AIM),CEDARS-SINAI,"Los Angeles, CA",Additional responsibilities include the opportunity to participate in making strategic data-related decisions by analyzing and manipulating data and building…,Posted 30+ days ago·
56,"Manager, Machine Learning Engineering, Generative ML Platform",Snapchat,"Los Angeles, CA 90291 ",BS in a technical field such as computer science or equivalent years of experience.,Just posted·
57,"Measurement Lead, Audience Insights",Netflix,"Los Angeles, CA","Support the Advertising Sales team with research and analytics, including but not limited to audience data, site metrics, normative data, and Netflix ad…",Posted 30+ days ago·
