,Title,Company,Location,Job Description,When Posted
0,Data Analyst,UCLA,"Los Angeles, CA",Understanding of relational databases and mastery of data analysis and data.,Posted 30 days ago·
1,Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",Familiarity working with JSON data.,Posted 4 days ago·
2,Data Scientist,"Pasadena, CA","Pasadena, CA",Identify data patterns and trends.,Posted 18 days ago·
3,Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA",Creates sustainable data science infrastructure and adheres to data analysis/machine learning best practices.,Posted 4 days ago·
4,Financial Reporting Specialist (Flexible),"Lakeshore Learning Materials, LLC",3.7,"Strong technical skills in Excel and other data tools, certification highly preferred.",Posted 10 days ag
5,Data Scientist,goop,"Santa Monica, CA",Advanced level experience with relational databases (SQL) and unstructured & semi-structured data.,Posted 30+ days ago·
6,Predictive Data Analyst - CalAIM,Heluna Health,"Los Angeles, CA 90014",Collaborates with data administrators and other IT staff to develop data pipelines and ensure the availability of quality data.,Posted 30+ days ago·
7,DATA SCIENTIST,Los Angeles County Department of Human Resources,"Los Angeles County, CA",Develops relationships with local academic data science programs to foster recruitment of data science interns and is responsible for overseeing their work on…,Posted 30+ days ago·
8,"Associate, Finance Strategy & Analysis, Content",Netflix,"Los Angeles, CA",Experience conducting quantitative analysis (including modeling) and qualitative analysis and can drive to insight and results using data.,Posted 30+ days ago·
9,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA","Understanding of data governance, privacy, and security in AI applications.",Posted 2 days ago·
10,Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.,Posted 30+ days ago·
11,Statistician,UCLA,"Los Angeles, CA","Advanced knowledge of data collection design, for qualitative and/or quantitative methodologies.",Posted 10 days ago·
12,Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245",Experience with data visualization tools such as Tableau.,Posted 30+ days ago·
13,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.,Posted 26 days ago·
14,Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ","Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Posted 30+ days ago·
15,Data Scientist- CalAIM,Heluna Health,"Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",Posted 30+ days ago·
16,Data Science Instructor,UCLA Extension,"Los Angeles, CA","Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·
17,Data Scientist IV,OrangePeople,"Bell, CA 90201","Experience finding, cleaning, and manipulating data to build data sets.",Active 3 days ago·
18,HR Data and Compliance Consultant/Analyst - Los Angeles,TikTok,"Los Angeles, CA","Collect, clean, and analyze HR data, ensuring data accuracy and consistency;",Posted 30+ days ago·
19,Data Analyst,Disney Direct to Consumer,"Santa Monica, CA","Expertise manipulating large data sets, interpreting data trends, and using a multitude of disparate data sources and tools.",Posted 11 days ago·
20,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA",Obsessed data quality: build reliable and trustworthy web-scale data products.,Posted 30+ days ago·
21,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",5+ years experience in the data science field at a tech company with large data sets.,Posted 4 days ago·
22,DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA","Degree: Mathematics, statistics, computer science, data science or field directly related to the position.",Posted 30+ days ago·
23,Data Scientist I,Trusaic,"Los Angeles, CA 90010 ","Carefully review work, perform data checks, before submitting for further review;",Posted 30+ days ago·
24,"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,"Los Angeles, CA",Prior work experience or internships involving data analysis or related fields is a plus.,Posted 25 days ago·
25,Data Scientist (Ability to Obtain DoD),Sparkle G,"Redondo Beach, CA","Hands-on experience with core Python data science tools (Numpy, Pandas, Matplotlib, SciKit-Learn, etc.).",Active 3 days ago·
26,Product Manager - TikTok Social,TikTok,"Los Angeles, CA","1-3 years of experience in product management, data science, consulting, or equivalent roles.",Posted 30+ days ago·
27,Business Intelligence Analyst - USDS,TikTok,"Hybrid remote in Los Angeles, CA","Experience in data science programming languages (e.g., Python, R).",Posted 30+ days ago·
28,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·
29,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·
30,Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ag
31,Vaccine Specialist Representative,Inizio Engage,3.5,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Active 3 days ag
32,"Lead Data Analyst/Senior Data Analyst, Tiktok Ads - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Expert experience pulling large and complex data using SQL and writing data pipelines.,Posted 30+ days ago·
33,Data Scientist,Hadrian,"Los Angeles, CA",Work with the FactoryOS team to ensure data captured from the factory is suitable for data science needs.,Posted 12 days ago·
34,Analytics and Visualization Data Scientist,Booz Allen,"El Segundo, CA","2+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining.",Posted 3 days ago·
35,Analytics Engineer (L5) - Content DSE,Netflix,"Los Angeles, CA",Proven track record in transforming large amounts of complex data into insights by leading the end-to-end creation of intuitive data products.,Posted 30+ days ago·
36,Statistician - Semel Institute,UCLA Health,"Los Angeles, CA 90095","Understand and modify or adapt existing SAS code for complex data management; develop new code in SAS, Stata, or R to validate new data against prior study data…",Posted 30+ days ago·
37,"Senior Data Engineer, Marketing",Circle,"Remote in Los Angeles, CA","Being a domain expert on data modeling, data pipelines, data quality and data warehousing.",Posted 9 days ago·
38,Data Scientist,Triunity Software,"Los Angeles, CA 90012","MS or PhD in computer science, data science, statistics, math, or related quantitative field.",Posted 21 days ago·
39,"Application Software Engineer, Data",SpaceX,"Hawthorne, CA","Experience in full stack development, software engineering, data engineering, or data science.",Posted 11 days ago·
40,Applied Scientist I,Capital Group Companies,"Los Angeles, CA",You will conduct research and experimentation to identify and implement state-of-the-art methodologies in large language modeling and analyze patterns from…,Posted 30+ days ago·
41,"Sr Data Scientist, Product Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·
42,"Manager, Content Data Engineering",Netflix,"Los Angeles, CA",Provide technical vision and strategy for building a data ecosystem that enables Netflix to leverage data about content within cross-functional teams.,Posted 25 days ago·
43,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA","Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Just posted·
44,"Data Reporting and Analytics Consultant II / Biostatistician, Epidemiologic Research",Kaiser Permanente,"Pasadena, CA",Supports data preparation for analytic efforts under the guidance of more senior employees by cleaning data to ensure quality and accuracy based on provided…,Posted 30+ days ago·
45,"Senior Director, Data Science",Red Bull,"Santa Monica, CA ",Company Description This is an exciting opportunity for a data leader to guide and keep on building RBNA's Data Science initiative and CoE. This senior…,Posted 30+ days ago·
46,Application Engineer,MathWorks,"Hybrid remote in Torrance, CA",MathWorks has a hybrid work model that enables staff members to split their time between office and home. The hybrid model provides the advantage of having…,Posted 4 days ago·
