,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
0,Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ","Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Posted 30+ days ago·,,Los Angeles,CA,False
1,Data Scientist IV,OrangePeople,"Bell, CA 90201","Experience finding, cleaning, and manipulating data to build data sets.",Active 4 days ago·,,Bell,CA,False
2,Data Scientist- CalAIM,Heluna Health,"Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",Posted 30+ days ago·,,Los Angeles,CA,False
3,Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.,Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
4,Data Science Instructor,UCLA Extension,"Los Angeles, CA","Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·,,Los Angeles,CA,False
5,Data Analyst,mPulse Mobile,"Los Angeles, CA 91367",Understand data storage and data sharing methods.,Posted 10 days ago·,,Los Angeles,CA,False
6,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",5+ years experience in the data science field at a tech company with large data sets.,Posted 5 days ago·,204000.0,Los Angeles,CA,False
7,HR Data and Compliance Consultant/Analyst - Los Angeles,TikTok,"Los Angeles, CA","Collect, clean, and analyze HR data, ensuring data accuracy and consistency;",Posted 30+ days ago·,228000.0,Los Angeles,CA,False
8,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.,Posted 27 days ago·,,Los Angeles,CA,False
9,VP of Data Science & BI,Niagara Bottling,"Diamond Bar, CA 91765","10+ Years – Experience in data science, analytics, and machine learning, with a track record of successfully driving data-driven initiatives.",Posted 30+ days ago·,,Diamond Bar,CA,False
10,DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA","Degree: Mathematics, statistics, computer science, data science or field directly related to the position.",Posted 30+ days ago·,,Los Angeles,CA,False
11,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
12,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,False
13,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA",Obsessed data quality: build reliable and trustworthy web-scale data products.,Posted 30+ days ago·,,Los Angeles,CA,False
14,Data Scientist I,Trusaic,"Los Angeles, CA 90010 ","Carefully review work, perform data checks, before submitting for further review;",Posted 30+ days ago·,,Los Angeles,CA,False
15,Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ","Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Posted 30+ days ago·,,Los Angeles,CA,False
16,Data Scientist IV,OrangePeople,"Bell, CA 90201","Experience finding, cleaning, and manipulating data to build data sets.",Active 4 days ago·,,Bell,CA,False
17,Data Scientist- CalAIM,Heluna Health,"Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",Posted 30+ days ago·,,Los Angeles,CA,False
18,Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.,Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
19,Data Science Instructor,UCLA Extension,"Los Angeles, CA","Minimum MS degree in computer science, statistics, Information Technology or applied science.",Posted 30+ days ago·,,Los Angeles,CA,False
20,Data Analyst,mPulse Mobile,"Los Angeles, CA 91367",Understand data storage and data sharing methods.,Posted 10 days ago·,,Los Angeles,CA,False
21,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",5+ years experience in the data science field at a tech company with large data sets.,Posted 5 days ago·,204000.0,Los Angeles,CA,False
22,HR Data and Compliance Consultant/Analyst - Los Angeles,TikTok,"Los Angeles, CA","Collect, clean, and analyze HR data, ensuring data accuracy and consistency;",Posted 30+ days ago·,228000.0,Los Angeles,CA,False
23,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.,Posted 27 days ago·,,Los Angeles,CA,False
24,VP of Data Science & BI,Niagara Bottling,"Diamond Bar, CA 91765","10+ Years – Experience in data science, analytics, and machine learning, with a track record of successfully driving data-driven initiatives.",Posted 30+ days ago·,,Diamond Bar,CA,False
25,DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA","Degree: Mathematics, statistics, computer science, data science or field directly related to the position.",Posted 30+ days ago·,,Los Angeles,CA,False
26,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
27,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,False
