,Title,Company,Location,Job Description,When Posted
0,Data Analyst,UCLA,"Los Angeles, CA",About the California Policy Lab The California Policy Lab translates research insights into government impact. Through hands-on partnerships with government…,Posted 30 days ago
1,Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",Start Date: Immediately End Date: September 2024 Employment Type: This is a part-time position. A flexible schedule including occasional weekend hours is…,Posted 30 days ago
2,Data Scientist,"Pasadena, CA","Pasadena, CA",Expatiate Communications is a boutique management consulting firm with unmatched expertise in special education. We deliver innovative solutions for the most…,Posted 30 days ago
3,Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA","Job Description The Research Data Scientist participates in biomedical research projects using programming, data-mining, statistics, machine learning, and…",Posted 30 days ago
4,Manager of Business Intelligence,Niagara Bottling,3.0,"At Niagara, we’re looking for Team Members who want to be part of achieving our mission to provide our customers the highest quality most affordable bottled…",Posted 30 days ago
5,Data Scientist,goop,"Santa Monica, CA",About The Company Gwyneth Paltrow launched goop from her kitchen as a homespun weekly newsletter. It's grown a lot since then; goop is a lifestyle platform…,Posted 30 days ago
6,Predictive Data Analyst - CalAIM,Heluna Health,"Los Angeles, CA 90014","Salary: $42.59 - $57.40 Per Hour SUMMARY Community Programs is a program office within Health Services Administration, a division under the Los Angeles…",Posted 30 days ago
7,DATA SCIENTIST,Los Angeles County Department of Human Resources,"Los Angeles County, CA","EXAM NUMBER: PH1763B TYPE OF RECRUITMENT: Open Competitive Job Opportunity FIRST DAY OF FILING: Thursday, February 1, 2024 at 8:30 a.m., Pacific Time (PT)…",Posted 30 days ago
8,"Associate, Finance Strategy & Analysis, Content",Netflix,"Los Angeles, CA","Los Angeles, California Finance Netflix is the world's leading streaming entertainment service over 260 million paid memberships in over 190 countries…",Posted 30 days ago
9,Artificial Intelligence Analyst,"REGAL MEDICAL GROUP, INC","Northridge, CA 91325",Position Summary: As an AI Analyst at Regal Medical Group you will play a pivotal role in leveraging artificial intelligence (AI) and machine learning (ML)…,Posted 30 days ago
10,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA","Information Technology Services (IT Services) empowers UCLA's mission of the creation, dissemination, preservation, and application of knowledge for the…",Posted 30 days ago
11,Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Core Digital Media brands empower people to improve their financial lives every day. We are one of the largest advertisers on the internet and tens of…,Posted 30 days ago
12,Statistician,UCLA,"Los Angeles, CA","The Statistician will serve under direction of the P.I.s and senior researcher(s) in the Center for Evaluation on Standards, & Student Testing (CRESST),…",Posted 30 days ago
13,Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245",Job Description TechStyleOS is looking for a Data Scientist to join our Marketing Science & Analytics team. How Do You Fit In? TechStyleOS is the operating…,Posted 30 days ago
14,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",About Exponent: Exponent is the only premium engineering and scientific consulting firm with the depth and breadth of expertise to solve our clients’ most…,Posted 30 days ago
15,Data Scientist IV,OrangePeople,"Bell, CA 90201","Experience finding, cleaning, and manipulating data to build data sets.",Active 3 days ago
16,Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ","Data Integrity: Ensure data accuracy and integrity, troubleshoot data issues, and collaborate with engineering for improved data collection processes.",Active 3 days ago
17,Data Scientist- CalAIM,Heluna Health,"Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",Active 3 days ago
18,Data Science Instructor,UCLA Extension,"Los Angeles, CA","Minimum MS degree in computer science, statistics, Information Technology or applied science.",Active 3 days ago
19,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",5+ years experience in the data science field at a tech company with large data sets.,Active 3 days ago
20,HR Data and Compliance Consultant/Analyst - Los Angeles,TikTok,"Los Angeles, CA","Collect, clean, and analyze HR data, ensuring data accuracy and consistency;",Active 3 days ago
21,Data Analyst,mPulse Mobile,"Los Angeles, CA 91367",Understand data storage and data sharing methods.,Active 3 days ago
22,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Active 3 days ago
23,VP of Data Science & BI,Niagara Bottling,"Diamond Bar, CA 91765","10+ Years – Experience in data science, analytics, and machine learning, with a track record of successfully driving data-driven initiatives.",Active 3 days ago
24,Data Analyst,Disney Direct to Consumer,"Santa Monica, CA","Expertise manipulating large data sets, interpreting data trends, and using a multitude of disparate data sources and tools.",Active 3 days ago
25,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Active 3 days ago
26,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA",Obsessed data quality: build reliable and trustworthy web-scale data products.,Active 3 days ago
27,Data Scientist I,Trusaic,"Los Angeles, CA 90010 ","Carefully review work, perform data checks, before submitting for further review;",Active 3 days ago
